codigo,nombre,stock_actual,stock_nuevo,diferencia
817189029032,CREATINA MICRONIZADA MONOHIDRATADA 60SERV. EVOGEN,52,46,-6
842595106572,C4 PERFORMANCE ENERGY 16OZ STRAWBERY WATTERMELON ICE,86,85,-1
842595106596,C4 PERFORMANCE ENERGY 16OZ FROZEN BOMBSICLE,55,51,-4
842595106619,C4 PERFORMANCE ENERGY 16OZ ARCTIC SNOW CONE,47,43,-4
842595111071,C4 PERFORMANCE16OZ CHERRYLIMEADE,108,96,-12
842595121650,C4 PERFORMANCE 16OZ FRUIT PUNCH,84,83,-1
842595121759,C4 PERFORMANCE ENERGY 16OZ STRAWBERRY BLAST,95,91,-4
842595121766,C4 PERFORMANCE COSMIC RAINBOW,123,118,-5
842595131253,C4 PERFORMANCE 16OZ CHERRY,103,91,-12
842595131277,C4 PERFORMANCE 16OZ POPSICLE GRAPE,222,185,-37
842595131291,C4 PERFORMANCE 16OZ HAWAIIAN PINEAPLE,2953,2903,-50
842595131727,C4 PERFORMANCE 16OZ ELECTRIC SOUR APPLE,71,70,-1
842595131741,C4 PERFORMANCE 16OZ ATOMIC GRAPE,36,35,-1
842595133608,C4 PERFORMANCE ENERGY 16OZ HAWAIIAN PUNCH TROPIC JUICE,71,62,-9
842595134957,C4 PERFORMANCE ENERGY 16OZ BLUE RASPBERRY JOLLY RANCHER,92,89,-3
842595134964,C4 PERFORMANCE ENERGY 16OZ WATERMELON JOLLY RANCHER,92,86,-6
842595135534,C4 PERFORMANCE 16OZ FROST BITTEN CITRUS,59,47,-12
842595135541,C4 PERFORMANCE CHERRY BOMB FROST,36,33,-3
842595135558,C4 PERFORMANCE 16OZ TROPICAL TUNDRA FROST,72,64,-8
850026029055,WHEY 100% VAINILLA 2 LBS NUTREX,17,73,56
850026029079,WHEY 100 % CHOCOLATE 2 LBS 26 SERVING NUTREX,23,80,57
850026029925,CREATINA MONOHIDRATE 200 SERVING NUTREX,374,356,-18
850030689283,VITAMIN K2 & D3 REVIVE,6,5,-1
850030689450,VITAMIN D3 REVIVE,56,55,-1
850044753857,PROTEINA DE 4.8 LB VAINILLA PRIMEVAL LABS,69,68,-1
850049150613,BETA ALANINE 60 SERVING RAW,7,6,-1
850057175356,CBUM-ITHOLATE-PROTEIN-VANILLA-OA TMEAL COOKIE - 5LB (ISOLATADA),3,2,-1
850060362675,WHEY 100% COOKIES AND CREAN 2LBS NUTREX,22,80,58
853237000745,CREATINA MONOHIDRATADA DRIVE 300G NUTREX,1851,1808,-43
853237000837,ISOFIT 30 SERVING STRAWERRY NUTREX,8,60,52
859400007337,PROTEINA ISOFIT CHOCOLATE SHAKE 30 SERV. NUTREX,5,58,53
859400007559,ISOFIT VAINILLA ICE CREAM 2 LBS. NUTREX,1,78,77
891597004034,RTD CARNIVOR 500ML CHOCOLATE (MUSCLE MEDS),771,730,-41
891597006113,RTD CARNIVOR 500ML VAINILLA (MUSCLE MEDS),809,777,-32
891597006137,RTD CARNIVOR 500ML FRUIT CEREAL (MUSCLE MEDS),716,703,-13
891597006427,RTD CARNIVOR SALTED CARAMEL 500ML (MUSCLE MEDS),784,761,-23
