id,parent,tipo,sku,nombre,old_stock,new_stock,new_status,old_status,manage,old_price,new_price
21457,0,simple,850057175646,BUM ESENCIAL PERFORMANCE NO-STIM BLUE RATHBERRY,224,224,instock,instock,True,49.99,49.99
18907,18903,variation,810390028320,ALPHA AMINO 30 SERV. FRUIT PUNCH CELLUCOR,5,5,outofstock,outofstock,True,29.99,29.99
19753,19744,variation,810121056462,ISOJECT COOKIES AND CREAM 1.82 ISOJET EVOGEN,0,0,outofstock,outofstock,True,58.99,58.99
18978,18977,variation,850044753833,PROTEINA DE 4.8 LB COOKIE & CREAM PRIMEVAL LABS,56,56,instock,instock,True,74.99,74.99
18855,18854,variation,713101732045,PROLIVE BIO6 CRISPY TOFFEE 6 LBS IMPULSE,26,26,instock,instock,True,106.99,106.99
20446,20442,variation,842595135541,C4 PERFORMANCE CHERRY BOMB FROST,13,13,instock,instock,True,45.6,3.80
19088,19081,variation,748927068269,AMINO ENERGY SPARLING AE BERRY BURST OPTIMUN NUTRICION,275,275,instock,instock,True,43.2,3.60
18192,18186,variation,745560722152,PROLIVE BIO5 DE CHOCOLATE 5 LBS IMPULSE,217,217,instock,instock,True,95.99,95.99
14422,0,simple,799142775449,HORMONAL BALANCE 90 CAPSULAS- LANDERFIT,49,49,instock,instock,True,24.99,24.99
108,0,simple,745560722015,"CREATINE SUPER ATP, 80 SERVS). 400G (UNFLAVORED) (CREATINA)",16,16,instock,instock,True,29.99,29.99
19851,19843,variation,748927051698,AMINO ENERGY STRAWBERRY LIMON 270 G,31,31,instock,instock,True,32.99,32.99
19074,19071,variation,748927066586,PROTEIN SHAKER VAINILLA 325 ML OPTIMUN NUTRICION,1586,1586,instock,instock,True,57.6,4.00
19279,19277,variation,810121057001,HIDRATACION WATERMELON,13,13,instock,instock,True,35.99,35.99
14439,0,simple,799142775340,SAW PALMETO 500 MG 100 CAPSULAS-LANDERFIT,21,21,instock,instock,True,22.99,22.99
19754,19744,variation,817189029087,ISOJECT CINAMON CRUNCH 1.77 EVOGEN,2,2,outofstock,outofstock,True,58.99,58.99
19259,19253,variation,817189028523,AMINO K.E.M SOUR CANDY- EVOGEN,7,7,instock,instock,True,45.99,45.99
21119,21118,variation,608631655288,AMINO ESENCIAL 52 SERVIN 20 GRAMOS PINK LEMONADE IMPULSE,0,0,outofstock,outofstock,True,32.99,32.99
19031,19029,variation,860007286902,CBUM PROTEINA  ISOLATADA 2 LBS VAINILLA OATMEAL COOKIES,0,0,outofstock,outofstock,True,54.99,54.99
19236,19235,variation,817189028998,ISOJECT COOKIE AND CREAM 4 LBS EVOGEN,2,2,outofstock,outofstock,True,99.99,99.99
19032,19029,variation,850039445798,CBUM PROTEINA 2 LBS  ITOLATE BIRTHAY CAKE,2,2,outofstock,outofstock,True,54.99,54.99
21121,21118,variation,703556204907,AMINO ESENCIAL 52 SERVING PINA COLADA IMPULSE,1,1,outofstock,outofstock,True,32.99,32.99
13154,0,simple,7500634000528,CREATINAMONOHIDRATADA 72 SERVING,54,54,instock,instock,True,29.99,29.99
19009,19008,variation,612590416668,PREMIUN WHEY VAINILLA 26 SERVING- LANDERFIT,1,1,outofstock,outofstock,True,38.99,38.99
13377,0,simple,810139574170,MAGNESIUM CITRATE 60 CAPSULAS,0,0,outofstock,outofstock,True,19.99,19.99
18952,18946,variation,829263000066,NITRO UP BLEND VAINILLA 5 LBS - MUSCLEOLOGY,4,4,outofstock,outofstock,True,74.99,74.99
