codigo,nombre_psk,nombre_wc,wc_id,wc_sku,wc_type,wc_parent,stock_psk,stock_wc,delta
631656716979,MASS TECH -EXTREME 2000- VAINILLA 2000 6 LBS MUSCLETECH,Ganador de Masa Muscular Mass Tech - MuscleTech – 6 LBS – Aumento de Peso y Músculo - Vainilla Milkshake,18958,631656716979,variation,18955,4,4,0
631656716986,MAS TECH EXTREME 2000 TRIPLE CHOCOLATE BROWNIE 20 LBS,,,,,0,0,,
644225727139,POWER CRUNCH STRAWERRY CREME,,,,,0,6,,
644225727382,POWER CRUNCH FRENCH VAINILLA,,,,,0,14,,
644225727733,POWER CRUNCH PEANUT BUTTER FUDGE,,,,,0,10,,
644225727832,POWER CRUNCH TRIPLE CHOCOLATE,,,,,0,6,,
650076635196,BCCA FRUIT PONCHS FLAVOR 30 SERVING,,,,,0,97,,
650076635202,BCCA GRAPE FLAVOR 30 SERVING,,,,,0,91,,
650076635219,CREATINA 80 SERVING UNFLAVORED,,,,,0,470,,
650076635226,GLUTAMINE 80SERVING UNFLAVORED,,,,,0,497,,
650076635233,VMS-L-CARNITINA LIQUIDA 3500 MG SABOR FRUIT PONCHS,,,,,0,1,,
650076635257,VMS-PROTEIN ISOLATE-HIDROLIZED BIO-ACTIVE DE FRESA 5LB,Proteína Blend - VMS Nutrition - 5 lb - Recuperación Muscular y Aumento de Masa - Fresa,19064,650076635257,variation,19061,116,116,0
650076635264,VMS-PROTEIN ISOLATE- HIDROLIZED BIO-ACTIVE- CHOCOLATE5 LBS,Proteína Blend - VMS Nutrition - 5 lb - Recuperación Muscular y Aumento de Masa - Chocolate,19063,650076635264,variation,19061,61,61,0
65007665240,VMS-PROTEIN ISOLATE -HIDROLIZED BIO-ACTIVE VAINILLA 5 LBS,Proteína Blend - VMS Nutrition - 5 lb - Recuperación Muscular y Aumento de Masa - Vainilla,19062,65007665240,variation,19061,32,33,-1
659153877009,PROTEINA COOKIES AND CREAM 5 LBS ANS,,,,,0,0,,
666222007984,ACTIVE TIME RELEASED SPORT (MHP),Multivitamínico Deportivo Activite Sport - MHP - 120 Tabletas - Nutrición Completa y Energía Duradera,11831,666222007984,simple,0,10,10,0
666222093741,T-BOMB 3XTREME (MHP),,,,,0,1,,
666222097404,SUPER FAT BURNER + (MHP),"Super Fat Burner - MHP - Quemador de Grasa Avanzado para Pérdida de Peso, Energía y Definición Muscular",9723,666222097404,simple,0,73,73,0
666222941004,XPEL CAPS (MHP),"Diurético XPEL MHP 80 Cápsulas – Eliminación de Líquidos, Definición y Control de Retención",8555,666222941004,simple,0,72,72,0
666222942018,ANADROX PUMP & BURN (MHP),,,,,0,0,,
703556204730,L CARNITINA 3500 RED & GREEN IMPULSE,L-Carnitina Impulse 3500 - Suplemento para Quema de Grasa - Sabor Red & Green,18875,703556204730,variation,18869,6,6,0
703556204747,L-CARMITINE 3500MG W/ RASPB. KETONES & COLLAGEN NARANJA PIÑA IMPULSE,,,,,0,0,,
703556204751,L-CARNITINA 3500 WATERMELON IMPULSE,L-Carnitina Impulse 3500 - Suplemento para Quema de Grasa - Watermelon,18870,703556204751,variation,18869,8,8,0
703556204785,CORESHIELD -XR MULTIVITAMINAS,CoreShield XR - Multivitaminas - Apoyo Integral para Salud General y Energía,14415,703556204785,simple,0,57,57,0
703556204808,COLAGENO DR. JOINT PROFESSIONAL JOINT SUPPORT TUTTI FRUTTI 52 SERV. IMPULSE,"Colágeno para Articulaciones Doctor Joint - Impulse - Sabor Tutti Frutti - 52 Serv - Alivia artritis, fortalece tendones y huesos",128,703556204808,simple,0,52,53,-1
703556204815,PROLIVE BIO5 BUTTER BLASTER DE 5 LBS IMPULSE,Proteína Blend - Impulse - 5 LBS - Ganancia Muscular y Recuperación - Butter Blaster,18195,703556204815,variation,18186,108,108,0
703556204822,PROLIVE BIO5 WHITE CHOCORAINBOW DE 5 LB IMPULSE,Proteína Blend - Impulse - 5 LBS - Ganancia Muscular y Recuperación - White ChocoRainbow,18188,703556204822,variation,18186,30,32,-2
703556204839,PROLIVE BIO5 CHOCO MINT DE 5LB IMPULSE,,,,,0,0,,
703556204846,PROLIVE BIO5 CARAMEL PEANUT BUTTER DE 5 LBS IMPULSE,Proteína Blend - Impulse - 5 LBS - Ganancia Muscular y Recuperación - Caramel Peanut Butter,18189,703556204846,variation,18186,44,44,0
703556204907,AMINO ESENCIAL 52 SERVING PINA COLADA IMPULSE,Amino Esencial - Impulse - 52 Serv - Recuperación y Energía - Piña Colada,21121,703556204907,variation,21118,4,4,0
703556204938,CREATINA STIM PRO 52 SERV. ORANGE IMPULSE,Creatina Stim Pro - Impulse - 52 Serv - Creatina con Estimulantes - Naranja,18892,703556204938,variation,18887,17,17,0
705016353132,ISO 100 GURMET CHOCOLATE 3 LBS DYMATIZE,,,,,0,0,,
705016353156,ISO 100 VAINILLA 3 LBS DYMATIZE,,,,,0,0,,
705016353170,ISO 100 STRAWERRY 5 LBS DYMATIZE,Proteína ISO100 – Dymatize – 5 LBS – Isolatada e Hidrolizada para Recuperación Muscular - Strawberry,19186,705016353170,variation,19183,0,0,0
705016353187,PROTEINA ISO 100 GURMET CHOCOLATE 5 LBS DYMATIZE,Proteína ISO100 – Dymatize – 5 LBS – Isolatada e Hidrolizada para Recuperación Muscular - Chocolate,19192,705016353187,variation,19183,3,3,0
